Country/Region,Region,Year,Population Total,GDP,CO2 Emissions,Energy Usage,Life Expectancy,Infant Mortality Rate
Swaziland,Africa,01/12/2003,1087929,1854020496,1041,,46,0.082
Tanzania,Africa,01/12/2003,36760831,11659129815,3806,15491,52,0.066
Togo,Africa,01/12/2003,5258956,1673690390,1463,2303,54,0.072
Tunisia,Africa,01/12/2003,9839800,27453084983,21397,8028,73,0.022
Uganda,Africa,01/12/2003,26838428,6336696289,1709,,51,0.077
Zambia,Africa,01/12/2003,10894519,4341841414,2101,6828,44.5,0.086
Zimbabwe,Africa,01/12/2003,12673103,5727591778,10627,9500,42.5,0.058
Afghanistan,Asia,01/12/2003,23116142,4583648922,583,,56,0.088
Armenia,Asia,01/12/2003,3036032,2807061009,3429,1981,72.5,0.023
Azerbaijan,Asia,01/12/2003,8234100,7275766111,30616,12158,68,0.05
Bangladesh,Asia,01/12/2003,139185986,51913661485,33883,21713,66.5,0.056
Bhutan,Asia,01/12/2003,616383,622026107,378,,62.5,0.051
Brunei,Asia,01/12/2003,353649,6557333067,5357,2505,77,0.008
Cambodia,Asia,01/12/2003,12934369,4658246907,2380,4115,65,0.063
China,Asia,01/12/2003,1288400000,1640000000000,4525177,1427554,73.5,0.024
Georgia,Asia,01/12/2003,4328900,3991374540,3773,2705,72.5,0.026
Hong Kong SAR,Asia,01/12/2003,6730800,161000000000,40066,13608,81.5,
India,Asia,01/12/2003,1093786762,618000000000,1281914,489507,63.5,0.06
Indonesia,Asia,01/12/2003,218145617,235000000000,316792,165366,68,0.036
Japan,Asia,01/12/2003,127718000,4300000000000,1237429,506237,81.5,0.003
Kazakhstan,Asia,01/12/2003,14909018,30833692831,153816,43041,66.5,0.032
North Korea,Asia,01/12/2003,23449180,,77777,20027,67.5,0.03
South Korea,Asia,01/12/2003,47859311,681000000000,466215,202717,77.5,0.005
Kyrgyzstan,Asia,01/12/2003,5043300,1919012781,5328,2584,68.5,0.037
Laos,Asia,01/12/2003,5619069,2023324407,1129,,63.5,0.075
Macao SAR,Asia,01/12/2003,450711,7926373572,1536,,78.5,
Malaysia,Asia,01/12/2003,24890654,110000000000,160266,54619,73.5,0.007
Maldives,Asia,01/12/2003,287594,949867662,598,,72.5,0.025
Mongolia,Asia,01/12/2003,2468595,1595297301,8034,2525,64.5,0.042
Myanmar,Asia,01/12/2003,49577152,,9846,14064,63,0.054
Nepal,Asia,01/12/2003,24525527,6330476435,2952,8707,64,0.052
Pakistan,Asia,01/12/2003,152419974,83244801093,118895,68695,64.5,0.083
Philippines,Asia,01/12/2003,82604681,83908205720,71532,38822,67.5,0.029
Singapore,Asia,01/12/2003,4114800,97002305536,31133,25634,79.5,0.003
Sri Lanka,Asia,01/12/2003,19173000,18881765437,10660,8682,73.5,0.013
Tajikistan,Asia,01/12/2003,6529609,1554125543,2076,2170,65,0.061
Thailand,Asia,01/12/2003,64488338,143000000000,232198,89107,71.5,0.017
Timor-Leste,Asia,01/12/2003,933369,436500000,161,,61.5,0.072
Turkmenistan,Asia,01/12/2003,4648037,5977440583,42215,17629,64,0.062
Uzbekistan,Asia,01/12/2003,25567650,10128112401,122683,51412,67.5,0.049
Vietnam,Asia,01/12/2003,80468400,42717072778,78767,35111,74.5,0.025
Albania,Europe,01/12/2003,3033659,5652325082,4294,1976,75.5,0.02
Andorra,Europe,01/12/2003,75643,1917948475,535,,,0.003
Austria,Europe,01/12/2003,8121423,254000000000,72317,32214,79,0.004
Belarus,Europe,01/12/2003,9797000,17825436035,53722,26009,69,0.009
Belgium,Europe,01/12/2003,10376133,312000000000,114836,59242,78,0.004
Bosnia and Herzegovina,Europe,01/12/2003,3895779,8370020196,23238,4400,75.5,0.007
Bulgaria,Europe,01/12/2003,7823557,20668176834,47308,19399,72.5,0.016
Croatia,Europe,01/12/2003,4440000,34143409062,23542,8812,74.5,0.006
Cyprus,Europe,01/12/2003,998142,13319544758,7748,2332,78.5,0.005
Czech Republic,Europe,01/12/2003,10193998,95292530753,122379,44415,75.5,0.005
Denmark,Europe,01/12/2003,5390574,213000000000,55735,20087,77.5,0.004
Estonia,Europe,01/12/2003,1370720,9845187817,17052,5188,71.5,0.007
Faeroe Islands,Europe,01/12/2003,48308,1486861879,777,,79.5,
Finland,Europe,01/12/2003,5213014,164000000000,68888,36747,78.5,0.003
France,Europe,01/12/2003,62242474,1790000000000,387591,265879,79.5,0.004
Germany,Europe,01/12/2003,82534176,2420000000000,833406,338070,78.5,0.004
Greece,Europe,01/12/2003,11018324,193000000000,95738,29141,79,0.006
Hungary,Europe,01/12/2003,10129552,83538373061,59072,26136,72.5,0.008
Iceland,Europe,01/12/2003,289521,10969898924,2167,3273,81.5,0.003
Ireland,Europe,01/12/2003,3996521,159000000000,43337,14061,78.5,0.005
Isle of Man,Europe,01/12/2003,79001,2264911807,,,,
Italy,Europe,01/12/2003,57313203,1510000000000,468349,179423,80,0.004
Kosovo,Europe,01/12/2003,1703466,3355083117,,1994,68.5,
Latvia,Europe,01/12/2003,2287955,11186452601,7088,4324,71.5,0.012
Liechtenstein,Europe,01/12/2003,34141,3070803431,,,80,
Lithuania,Europe,01/12/2003,3415213,18608709857,12915,9253,72.5,0.009
Luxembourg,Europe,01/12/2003,451630,29144582393,9905,3843,78,0.003
North Macedonia,Europe,01/12/2003,2080866,4756221629,11309,2776,73.5,0.013
Malta,Europe,01/12/2003,398582,5119621569,2582,826,78.5,0.006
Moldova,Europe,01/12/2003,3612874,1980901554,4290,3360,68,0.021
Monaco,Europe,01/12/2003,32968,3588988601,,,,0.004
Montenegro,Europe,01/12/2003,613448,1707662608,,,73.5,0.011
Netherlands,Europe,01/12/2003,16225302,538000000000,175041,78010,78.5,0.005
Norway,Europe,01/12/2003,4564855,225000000000,42625,27020,79.5,0.004
Poland,Europe,01/12/2003,38204570,217000000000,304856,91105,75,0.007
Portugal,Europe,01/12/2003,10458821,162000000000,61276,25129,77.5,0.004
Romania,Europe,01/12/2003,21574326,59466017706,95940,39525,71.5,0.021
Russia,Europe,01/12/2003,144667468,430000000000,1604973,645323,65.5,0.017
San Marino,Europe,01/12/2003,28700,1122981525,,,81.5,0.004
Serbia,Europe,01/12/2003,7480591,19550781969,,16635,72.5,0.009
Slovakia,Europe,01/12/2003,5373374,45837416479,39494,18639,74,0.009
Slovenia,Europe,01/12/2003,1995733,29152072068,15500,6912,77,0.004
Spain,Europe,01/12/2003,42187645,884000000000,321097,133196,79.5,0.005
Sweden,Europe,01/12/2003,8958229,315000000000,54781,50618,80,0.003
Switzerland,Europe,01/12/2003,7339001,335000000000,40205,25996,80.5,0.004
Turkey,Europe,01/12/2003,65938265,303000000000,218509,77833,71.5,0.029
Ukraine,Europe,01/12/2003,47812950,50132953288,352259,144641,68.5,0.014
United Kingdom,Europe,01/12/2003,59647577,1880000000000,540640,222080,78.5,0.005
Bahrain,Middle East,01/12/2003,772058,11075116594,16468,6752,75,0.01
Iran,Middle East,01/12/2003,68543171,135000000000,418859,142649,71,0.024
Iraq,Middle East,01/12/2003,25959531,,91118,27086,70.5,0.034
Israel,Middle East,01/12/2003,6689700,119000000000,65122,19730,80,0.005
Jordan,Middle East,01/12/2003,5164000,10193023726,17470,5176,72.5,0.022
Kuwait,Middle East,01/12/2003,2116353,47875837662,61657,22001,74,0.01
Lebanon,Middle East,01/12/2003,3690110,20082918740,18221,5220,76,0.014
Oman,Middle East,01/12/2003,2389121,21542262852,32391,9350,74,0.012
Qatar,Middle East,01/12/2003,660238,23533790531,36157,14185,77,0.01
Saudi Arabia,Middle East,01/12/2003,22852333,215000000000,327272,121382,73.5,0.018
Syria,Middle East,01/12/2003,17298476,21828144686,54286,16543,74,0.018
United Arab Emirates,Middle East,01/12/2003,3369254,124000000000,106842,40190,75,0.009
Yemen,Middle East,01/12/2003,19081306,11777768087,17305,5667,61.5,0.061
American Samoa,Oceania,01/12/2003,59117,,,,,
Australia,Oceania,01/12/2003,19895400,467000000000,346476,110814,80.5,0.005
Fiji,Oceania,01/12/2003,817224,2315935753,862,,68.5,0.02
French Polynesia,Oceania,01/12/2003,248536,,799,,73.5,
Guam,Oceania,01/12/2003,157823,,,,76.5,
Kiribati,Oceania,01/12/2003,87371,90148518,40,,66,0.051
Marshall Islands,Oceania,01/12/2003,52115,126887585,84,,,0.033
"Micronesia, Fed. Sts.",Oceania,01/12/2003,106816,244990984,147,,67.5,0.039
New Caledonia,Oceania,01/12/2003,225735,,2750,,75.5,
New Zealand,Oceania,01/12/2003,4027200,87440435752,33938,16847,79,0.006
Papua New Guinea,Oceania,01/12/2003,5803302,3536459120,3968,,60,0.057
Samoa,Oceania,01/12/2003,177677,301905953,150,,70.5,0.017
Solomon Islands,Oceania,01/12/2003,446335,332736307,180,,64.5,0.029
Tonga,Oceania,01/12/2003,99691,208098552,176,,71.5,0.014
Vanuatu,Oceania,01/12/2003,198952,314463144,81,,69,0.018
Antigua and Barbuda,The Americas,01/12/2003,80904,849234754,389,,74.5,0.012
Argentina,The Americas,01/12/2003,37970411,157000000000,133127,59047,74.5,0.017
Aruba,The Americas,01/12/2003,97015,2021301676,2255,,74,
"Bahamas, The",The Americas,01/12/2003,315624,6949317000,1518,,73,0.013
Barbados,The Americas,01/12/2003,270844,3271200000,1269,,73.5,0.015
Belize,The Americas,01/12/2003,258346,990350000,374,,71.5,0.019
Bermuda,The Americas,01/12/2003,63325,4186525000,510,,78.5,
Bolivia,The Americas,01/12/2003,9016787,8082396526,14129,3688,64,0.049
Brazil,The Americas,01/12/2003,181752951,552000000000,321622,198976,71,0.024
Canada,The Americas,01/12/2003,31676000,888000000000,553185,262038,79.5,0.005
Cayman Islands,The Americas,01/12/2003,46032,,480,,,
Chile,The Americas,01/12/2003,15995658,77840186385,55078,25833,78,0.008
Colombia,The Americas,01/12/2003,41872051,94684582573,57422,25736,72,0.02
Costa Rica,The Americas,01/12/2003,4171145,17517536016,6626,3297,78.5,0.009
Cuba,The Americas,01/12/2003,11245926,35901500000,25486,11662,77,0.006
Curacao,The Americas,01/12/2003,131253,,,,,
Dominica,The Americas,01/12/2003,70058,340803913,114,,,0.013
Dominican Republic,The Americas,01/12/2003,9071318,21268012747,21888,7479,71,0.031
Ecuador,The Americas,01/12/2003,13279806,32432859000,26523,9712,74,0.026
El Salvador,The Americas,01/12/2003,6029366,15046700000,6553,4418,70.5,0.023
Greenland,The Americas,01/12/2003,56765,1426452030,532,,68.5,
Grenada,The Americas,01/12/2003,102369,596339089,216,,71,0.013
Guatemala,The Americas,01/12/2003,12062835,21917565500,10502,7436,69.5,0.036
Guyana,The Americas,01/12/2003,753612,741929343,1566,,64.5,0.037
Haiti,The Americas,01/12/2003,8996229,2826481072,1734,2218,58.5,0.069
Honduras,The Americas,01/12/2003,6628171,8140294080,6769,3647,71.5,0.028
Jamaica,The Americas,01/12/2003,2624695,9430236065,10722,3728,71,0.019
Mexico,The Americas,01/12/2003,108056312,713000000000,405633,153665,75.5,0.018
Nicaragua,The Americas,01/12/2003,5317878,5322437648,4411,2758,71,0.029
Panama,The Americas,01/12/2003,3240805,12933200000,6153,2649,75.5,0.02
Paraguay,The Americas,01/12/2003,5682350,6588103836,4070,3965,71,0.025
Peru,The Americas,01/12/2003,27073334,57840001637,26380,11638,71.5,0.025
Puerto Rico,The Americas,01/12/2003,3826095,75833996000,,,78,
Sint Maarten (Dutch part),The Americas,01/12/2003,33791,,,,,
St. Kitts and Nevis,The Americas,01/12/2003,47679,461576906,220,,,0.012
St. Lucia,The Americas,01/12/2003,161766,781338353,359,,72,0.015
St. Martin (French part),The Americas,01/12/2003,27363,,,,77.5,
St. Vincent and the Grenadines,The Americas,01/12/2003,108353,482397041,194,,71,0.019
Suriname,The Americas,01/12/2003,486867,1271196078,2241,,68.5,0.028
Trinidad and Tobago,The Americas,01/12/2003,1283868,11235960523,27697,13541,69,0.025
Turks and Caicos Islands,The Americas,01/12/2003,23412,,103,,,
United States,The Americas,01/12/2003,290107933,11500000000000,5681664,2261151,77.5,0.007
Uruguay,The Americas,01/12/2003,3325411,12045627411,4598,2523,75.5,0.013
Venezuela,The Americas,01/12/2003,25797219,83622191419,192103,52881,73,0.017
Algeria,Africa,01/12/2004,33461345,85324997370,89493,30974,69.5,0.03
Angola,Africa,01/12/2004,15976715,19640862550,18793,9676,48,0.123
Benin,Africa,01/12/2004,7922796,4050869968,2512,2491,56.5,0.078
Botswana,Africa,01/12/2004,1854739,8957491785,4378,1857,47.5,0.046
Burkina Faso,Africa,01/12/2004,13034258,4838551014,1104,,52,0.089
Burundi,Africa,01/12/2004,7510771,915257323,198,,49.5,0.079
Cameroon,Africa,01/12/2004,17674960,15775356737,3957,6959,52,0.081
Central African Republic,Africa,01/12/2004,3893595,1270080228,213,,44.5,0.111
Chad,Africa,01/12/2004,9665024,4414929142,378,,47.5,0.102
Comoros,Africa,01/12/2004,585389,362420484,103,34,58.5,0.071
Congo (Kinshasa),Africa,01/12/2004,52487293,10297481118,1936,19231,47.5,0.108
Congo (Brazzaville),Africa,01/12/2004,3448868,4648628839,1181,1020,53.5,0.066
Cote d'Ivoire,Africa,01/12/2004,17144325,15481092596,7664,9302,47,0.091
Djibouti,Africa,01/12/2004,765776,666072102,458,133,57.5,0.073
Egypt,Africa,01/12/2004,70591288,78845185709,150912,53536,69.5,0.027
Equatorial Guinea,Africa,01/12/2004,585983,4410764261,5218,762,48.5,0.089
Eritrea,Africa,01/12/2004,4665522,1109054002,770,744,58,0.049
Ethiopia,Africa,01/12/2004,74066147,9945571030,5244,28377,55.5,0.074
Gabon,Africa,01/12/2004,1347125,7178135606,1767,1629,60,0.052
"Gambia, The",Africa,01/12/2004,1391934,578785601,323,108,56.5,0.058
Ghana,Africa,01/12/2004,20835514,8881419348,7349,8267,58,0.059
Guinea,Africa,01/12/2004,9379621,3666349049,1342,,52,0.088
Guinea-Bissau,Africa,01/12/2004,1390791,522651788,202,86,52,0.099
Kenya,Africa,01/12/2004,34834606,16095321631,7624,15552,54,0.063
Lesotho,Africa,01/12/2004,1912022,1234197704,,28,43.5,0.084
Liberia,Africa,01/12/2004,3184643,467000000,627,,54,0.09
Libya,Africa,01/12/2004,5507000,33384615385,50359,17796,73.5,0.021
Madagascar,Africa,01/12/2004,17763367,4363934417,1808,,60.5,0.058
Malawi,Africa,01/12/2004,12569091,2625127098,975,,48,0.078
Mali,Africa,01/12/2004,11572936,4874178417,565,,51,0.101
Mauritania,Africa,01/12/2004,3055425,1833445283,1632,,60.5,0.075
Mauritius,Africa,01/12/2004,1233386,6385691315,3194,1019,72.5,0.014
Morocco,Africa,01/12/2004,29855820,56948015336,43311,12221,69,0.037
Mozambique,Africa,01/12/2004,20438827,5697991241,1922,8375,47.5,0.095
Namibia,Africa,01/12/2004,2003320,6606866450,1962,1163,55,0.048
Niger,Africa,01/12/2004,12708897,3052898686,964,,53,0.086
Nigeria,Africa,01/12/2004,135999250,87845403978,97047,101751,48.5,0.1
Rwanda,Africa,01/12/2004,9254379,2089188921,689,,53.5,0.075
Sao Tome and Principe,Africa,01/12/2004,150842,110723362,73,38,64,0.05
Senegal,Africa,01/12/2004,10967568,8031344240,5280,2736,60,0.059
Seychelles,Africa,01/12/2004,82500,839319935,744,256,72.5,0.012
Sierra Leone,Africa,01/12/2004,4928175,1431208677,642,,41.5,0.13
Somalia,Africa,01/12/2004,8249965,,576,,52.5,0.105
South Africa,Africa,01/12/2004,47019452,219000000000,427132,128722,52,0.052
South Sudan,Africa,01/12/2004,7730180,,,,51,0.091
Sudan,Africa,01/12/2004,30778572,21457886199,11382,14769,59.5,0.063
Swaziland,Africa,01/12/2004,1094758,2420610579,1030,406,46,0.082
Tanzania,Africa,01/12/2004,37765139,12825801917,4353,16198,52.5,0.061
Togo,Africa,01/12/2004,5397851,1937074538,1397,2327,54,0.07
Tunisia,Africa,01/12/2004,9932400,31183139301,22446,8463,73,0.021
Uganda,Africa,01/12/2004,27766986,7940362663,1852,,52,0.073
Zambia,Africa,01/12/2004,11174650,5439176376,2131,7005,45.5,0.081
Zimbabwe,Africa,01/12/2004,12693047,5805598443,9927,9269,43.5,0.058
Afghanistan,Asia,01/12/2004,24018682,5285461999,733,,56.5,0.086
Armenia,Asia,01/12/2004,3025652,3576615240,3645,2095,73,0.022
Azerbaijan,Asia,01/12/2004,8306500,8680511918,32090,12786,68.5,0.047
Bangladesh,Asia,01/12/2004,141235035,56560744012,39750,22554,67.5,0.053
Bhutan,Asia,01/12/2004,633893,702682018,308,180,63,0.048
Brunei,Asia,01/12/2004,360797,7872333197,5361,2296,77,0.008
Cambodia,Asia,01/12/2004,13149386,5337833256,2446,3389,66,0.057
China,Asia,01/12/2004,1296075000,1930000000000,5288166,1639854,74,0.022
Georgia,Asia,01/12/2004,4318300,5125273877,4323,2781,72.5,0.024
Hong Kong SAR,Asia,01/12/2004,6783500,169000000000,38415,12808,82,
India,Asia,01/12/2004,1110626108,722000000000,1348525,519165,63.5,0.058
Indonesia,Asia,01/12/2004,221293797,257000000000,337635,176238,69,0.035
Japan,Asia,01/12/2004,127761000,4660000000000,1259655,522488,82.5,0.003
Kazakhstan,Asia,01/12/2004,15012985,43151647003,172158,50717,66,0.03
North Korea,Asia,01/12/2004,23639303,,79482,20494,68,0.028
South Korea,Asia,01/12/2004,48039415,765000000000,482277,208284,78,0.005
Kyrgyzstan,Asia,01/12/2004,5104700,2211535312,5699,2542,68,0.036
Laos,Asia,01/12/2004,5699112,2366398120,1423,,64,0.073
Macao SAR,Asia,01/12/2004,458542,10258324479,1727,,78.5,
Malaysia,Asia,01/12/2004,25365089,125000000000,167333,58691,73.5,0.007
Maldives,Asia,01/12/2004,292505,1075605492,777,250,73.5,0.022
Mongolia,Asia,01/12/2004,2496248,1992066759,8551,2600,65,0.039
Myanmar,Asia,01/12/2004,49875169,,12435,14764,63,0.052
Nepal,Asia,01/12/2004,24921910,7273933993,2769,8832,64,0.049
Pakistan,Asia,01/12/2004,155151394,97977766198,131601,73580,65,0.082
Philippines,Asia,01/12/2004,84231329,91371236939,74066,38643,67.5,0.028
Singapore,Asia,01/12/2004,4166700,114000000000,28474,30845,79.5,0.002
Sri Lanka,Asia,01/12/2004,19435000,20662525941,11965,8798,73.5,0.012
Tajikistan,Asia,01/12/2004,6663929,2076148710,2563,2346,65.5,0.058
Thailand,Asia,01/12/2004,65087400,161000000000,252345,96291,72.5,0.016
Timor-Leste,Asia,01/12/2004,966987,455500000,176,58,62.5,0.069
Turkmenistan,Asia,01/12/2004,4696876,6838351088,43337,18406,64,0.06
Uzbekistan,Asia,01/12/2004,25864350,12030023548,119306,50678,67.5,0.048
Vietnam,Asia,01/12/2004,81437700,49424107710,90549,38968,74.5,0.024
Albania,Europe,01/12/2004,3014579,7464446950,4166,2172,76,0.019
Andorra,Europe,01/12/2004,79060,2322163502,565,,,0.003
Austria,Europe,01/12/2004,8171966,291000000000,71866,32690,79,0.004
Belarus,Europe,01/12/2004,9730000,23141587718,58038,26888,69,0.008
Belgium,Europe,01/12/2004,10421137,362000000000,111282,58895,79,0.004
Bosnia and Herzegovina,Europe,01/12/2004,3886723,10022840635,24617,4811,75.5,0.007
Bulgaria,Europe,01/12/2004,7781161,25283228366,46787,18833,72.5,0.015
Croatia,Europe,01/12/2004,4439000,41003558916,23047,8831,75.5,0.006
Cyprus,Europe,01/12/2004,1015820,15816972051,7334,2184,78.5,0.004
Czech Republic,Europe,01/12/2004,10197101,114000000000,122709,45511,76,0.005
Denmark,Europe,01/12/2004,5404523,245000000000,50597,19428,77.5,0.004
Estonia,Europe,01/12/2004,1362550,12031396467,17217,5282,72,0.006
Faeroe Islands,Europe,01/12/2004,48782,1683997930,796,,79.5,
Finland,Europe,01/12/2004,5228172,189000000000,67091,37120,78.5,0.003
France,Europe,01/12/2004,62702121,2060000000000,390103,269777,80.5,0.004
Germany,Europe,01/12/2004,82516260,2730000000000,825896,340676,79,0.004
Greece,Europe,01/12/2004,11055729,228000000000,97150,29707,79.5,0.005
Hungary,Europe,01/12/2004,10107146,102000000000,57352,26157,73,0.008
Iceland,Europe,01/12/2004,292074,13251434311,2233,3368,81,0.003
Ireland,Europe,01/12/2004,4070262,186000000000,43956,14269,78.5,0.005
Isle of Man,Europe,01/12/2004,79658,2758117365,,,,
Italy,Europe,01/12/2004,57685327,1740000000000,472768,181990,81,0.004
Kosovo,Europe,01/12/2004,1704622,3639935348,,2005,68.5,
Latvia,Europe,01/12/2004,2263122,13761569545,7132,4438,72,0.012
Liechtenstein,Europe,01/12/2004,34445,3454374261,,,82,
Lithuania,Europe,01/12/2004,3377075,22659294573,13330,9386,72,0.008
Luxembourg,Europe,01/12/2004,458095,34077095478,11269,4282,79,0.003
North Macedonia,Europe,01/12/2004,2085728,5514253043,11192,2756,74.5,0.012
Malta,Europe,01/12/2004,401268,5643525282,2574,830,79,0.006
Moldova,Europe,01/12/2004,3603945,2598231467,4554,3377,68,0.02
Monaco,Europe,01/12/2004,33346,4110348444,,,,0.004
Montenegro,Europe,01/12/2004,614670,2073255525,,,73.5,0.01
Netherlands,Europe,01/12/2004,16281779,610000000000,176903,79075,79,0.005
Norway,Europe,01/12/2004,4591910,260000000000,42666,26433,80,0.003
Poland,Europe,01/12/2004,38182222,253000000000,304988,91371,75,0.007
Portugal,Europe,01/12/2004,10483861,185000000000,63175,25831,78,0.004
Romania,Europe,01/12/2004,21451748,75794733525,95401,38683,71.5,0.02
Russia,Europe,01/12/2004,143821212,591000000000,1602963,647392,65.5,0.015
San Marino,Europe,01/12/2004,29290,1317357835,,,82,0.004
Serbia,Europe,01/12/2004,7463157,23649854234,,18094,72.5,0.008
Slovakia,Europe,01/12/2004,5372280,56073225726,38749,18353,74,0.009
Slovenia,Europe,01/12/2004,1997012,33837749815,15746,7131,77.5,0.004
Spain,Europe,01/12/2004,42921895,1040000000000,339429,139030,80,0.005
Sweden,Europe,01/12/2004,8993531,362000000000,54521,52588,80.5,0.003
Switzerland,Europe,01/12/2004,7389625,374000000000,40392,26090,81.5,0.004
Turkey,Europe,01/12/2004,66845635,392000000000,225407,80858,72.5,0.027
Ukraine,Europe,01/12/2004,47451600,64883060726,343121,143843,68.5,0.013
United Kingdom,Europe,01/12/2004,59987905,2220000000000,540409,221558,79,0.005
Bahrain,Middle East,01/12/2004,820505,13150516509,17510,6970,75.5,0.01
Iran,Middle East,01/12/2004,69342126,163000000000,447480,155548,71.5,0.023
Iraq,Middle East,01/12/2004,26673536,36627901762,114084,26901,69.5,0.034
Israel,Middle East,01/12/2004,6809000,127000000000,63201,19241,80,0.005
Jordan,Middle East,01/12/2004,5290000,11407566660,19241,6219,72.5,0.021
Kuwait,Middle East,01/12/2004,2196466,59440511982,63534,23469,74,0.01
Lebanon,Middle East,01/12/2004,3853582,20955223881,16835,5271,76.5,0.013
Oman,Middle East,01/12/2004,2464001,24673602280,27987,9603,74,0.011
Qatar,Middle East,01/12/2004,720383,31734065019,44393,16648,77,0.009
Saudi Arabia,Middle East,01/12/2004,23839231,259000000000,395834,143706,74,0.017
Syria,Middle East,01/12/2004,17676012,25086930693,51111,17937,74.5,0.017
United Arab Emirates,Middle East,01/12/2004,3658658,148000000000,113241,42310,75,0.009
Yemen,Middle East,01/12/2004,19612696,13873500888,18881,6186,61.5,0.059
American Samoa,Oceania,01/12/2004,59262,,,,,
Australia,Oceania,01/12/2004,20127400,613000000000,348757,112696,80.5,0.005
Fiji,Oceania,01/12/2004,818995,2727507213,1133,666,68.5,0.02
French Polynesia,Oceania,01/12/2004,251811,,788,,74,
Guam,Oceania,01/12/2004,158194,,,,76.5,
Kiribati,Oceania,01/12/2004,88936,102220915,44,8,66,0.05
Marshall Islands,Oceania,01/12/2004,52074,131106366,88,29,,0.033
"Micronesia, Fed. Sts.",Oceania,01/12/2004,106575,239563310,147,,67.5,0.038
New Caledonia,Oceania,01/12/2004,230068,,2552,,75.5,
New Zealand,Oceania,01/12/2004,4087500,103000000000,34759,17393,80,0.006
Papua New Guinea,Oceania,01/12/2004,5948461,3927114457,4481,,60,0.056
Samoa,Oceania,01/12/2004,178794,374507188,154,56,71,0.017
Solomon Islands,Oceania,01/12/2004,457827,375109695,180,58,65.5,0.029
Tonga,Oceania,01/12/2004,100319,240794581,172,57,71.5,0.014
Vanuatu,Oceania,01/12/2004,204135,364996869,55,30,69,0.018
Antigua and Barbuda,The Americas,01/12/2004,81718,905113767,407,135,74.5,0.011
Argentina,The Americas,01/12/2004,38308779,183000000000,156170,67303,74.5,0.016
Aruba,The Americas,01/12/2004,98742,2228279330,2259,,74.5,
"Bahamas, The",The Americas,01/12/2004,322400,7094413000,1723,664,73.5,0.013
Barbados,The Americas,01/12/2004,272205,3509700000,1294,375,73.5,0.015
Belize,The Americas,01/12/2004,265040,1057850000,381,155,72,0.019
Bermuda,The Americas,01/12/2004,63740,4484703000,671,,78.5,
Bolivia,The Americas,01/12/2004,9187610,8773451739,13084,3622,64.5,0.046
Brazil,The Americas,01/12/2004,184010283,664000000000,337826,210042,71.5,0.022
Mauritius,Africa,01/12/2005,1243253,6283796155,3410,1077,72.5,0.014
Tunisia,Africa,01/12/2005,10029000,32282960678,22801,8314,74,0.02
Seychelles,Africa,01/12/2005,82900,919103262,697,228,72,0.012
Morocco,Africa,01/12/2005,30125445,59523857868,45771,13327,69,0.035
Algeria,Africa,01/12/2005,33960903,103000000000,107128,32335,69.5,0.029
South Africa,Africa,01/12/2005,47639556,247000000000,396117,128214,51.5,0.051
Libya,Africa,01/12/2005,5594450,44000000000,52108,17670,73.5,0.02
Egypt,Africa,01/12/2005,71777678,89685724889,167208,62741,69.5,0.026
Botswana,Africa,01/12/2005,1875805,9931223496,4613,1929,46.5,0.043
Lesotho,Africa,01/12/2005,1925844,1368405301,,33,44,0.085
Namibia,Africa,01/12/2005,2027026,7261366632,2310,1294,56,0.046
Djibouti,Africa,01/12/2005,776585,708633195,473,139,58,0.071
Zimbabwe,Africa,01/12/2005,12710589,5755215232,10774,9685,43.5,0.057
Swaziland,Africa,01/12/2005,1104642,2584077931,1019,399,46,0.081
Gabon,Africa,01/12/2005,1379465,8665736618,2087,1718,60,0.05
Ghana,Africa,01/12/2005,21384034,10731883141,6956,8229,59,0.058
Central African Republic,Africa,01/12/2005,3960897,1350300947,213,,45,0.111
Cote d'Ivoire,Africa,01/12/2005,17393994,16363437145,7825,9634,47,0.089
Mauritania,Africa,01/12/2005,3146164,2184444849,1676,,60.5,0.075
Equatorial Guinea,Africa,01/12/2005,603648,6915849240,4712,1249,49,0.087
Togo,Africa,01/12/2005,5540214,2115154090,1338,2372,54,0.068
Rwanda,Africa,01/12/2005,9429457,2581286407,528,,55,0.067
Sudan,Africa,01/12/2005,31585871,26524992225,10708,14837,60,0.061
Madagascar,Africa,01/12/2005,18290394,5038577519,1742,,61.5,0.055
Sao Tome and Principe,Africa,01/12/2005,154615,123258507,77,43,64.5,0.048
Congo (Brazzaville),Africa,01/12/2005,3542867,6087002682,1456,1083,54,0.062
Kenya,Africa,01/12/2005,35785718,18737895401,8562,16151,55,0.061
Ethiopia,Africa,01/12/2005,76167240,12173919387,5053,28935,57,0.07
Comoros,Africa,01/12/2005,600733,387036132,110,37,59,0.07
Senegal,Africa,01/12/2005,11270826,8707015064,5860,2791,60.5,0.057
South Sudan,Africa,01/12/2005,8039351,,,,51,0.087
Cameroon,Africa,01/12/2005,18137734,16587921221,3696,6981,52,0.078
Guinea-Bissau,Africa,01/12/2005,1421515,572853554,213,87,52,0.096
Guinea,Africa,01/12/2005,9576331,2937072009,1181,,52.5,0.085
Liberia,Africa,01/12/2005,3269786,542000000,741,,55,0.083
Benin,Africa,01/12/2005,8182362,4358015993,2398,2499,57.5,0.075
Eritrea,Africa,01/12/2005,4854066,1098425900,766,763,58.5,0.047
